id;title;description;position;due_date;is_archived;trello_id;created_at;updated_at
1;outbid;../fake-data/blob/hipster.txt;11483;2025-08-15T15:11:05;false;brook;2025-08-16T11:23:46;2025-08-16T09:14:40
2;beside ultimate yowza;../fake-data/blob/hipster.txt;10660;2025-08-16T08:20:51;true;ugh badly brand;2025-08-16T13:43:01;2025-08-16T02:34:30
3;stranger atop;../fake-data/blob/hipster.txt;13649;2025-08-16T08:20:10;false;yahoo fatherly;2025-08-16T01:50:46;2025-08-15T23:02:35
4;cauliflower;../fake-data/blob/hipster.txt;17900;2025-08-16T07:36:16;false;once;2025-08-16T03:24:22;2025-08-16T02:37:23
5;yin sans;../fake-data/blob/hipster.txt;22665;2025-08-15T20:34:09;true;swing;2025-08-15T15:11:04;2025-08-16T02:39:32
6;because;../fake-data/blob/hipster.txt;8474;2025-08-16T05:17:04;false;at but;2025-08-16T06:46:22;2025-08-15T20:39:28
7;beneath executor;../fake-data/blob/hipster.txt;7581;2025-08-15T20:20:06;false;deny;2025-08-15T15:49:37;2025-08-15T23:25:23
8;overstay afford;../fake-data/blob/hipster.txt;5524;2025-08-16T01:15:40;false;boohoo yellowish;2025-08-15T18:45:23;2025-08-15T22:12:17
9;sarcastic;../fake-data/blob/hipster.txt;5170;2025-08-15T20:29:21;false;cinch;2025-08-15T20:48:01;2025-08-15T16:18:05
10;for;../fake-data/blob/hipster.txt;11007;2025-08-16T06:01:23;false;sarcastic slap outside;2025-08-15T20:04:19;2025-08-15T18:52:37
