id;author;text;created_at
1;whoever until simple;../fake-data/blob/hipster.txt;2025-08-15T23:15:28
2;square as;../fake-data/blob/hipster.txt;2025-08-16T03:20:19
3;worth unruly;../fake-data/blob/hipster.txt;2025-08-16T08:30:16
4;which;../fake-data/blob/hipster.txt;2025-08-16T05:24:48
5;plus gee frank;../fake-data/blob/hipster.txt;2025-08-16T09:33:35
6;uncover;../fake-data/blob/hipster.txt;2025-08-16T10:09:13
7;under against;../fake-data/blob/hipster.txt;2025-08-16T07:36:59
8;oily meh hose;../fake-data/blob/hipster.txt;2025-08-15T23:26:32
9;gee fen;../fake-data/blob/hipster.txt;2025-08-16T00:12:29
10;by aside enormously;../fake-data/blob/hipster.txt;2025-08-15T18:21:49
